주,의류,미용,가전,홈및가든,식음료,취미.레저,여행,컴퓨터및전자제품,엔터테인먼트.미디어,인터넷통신
2019-01-06,27,0,93,33,47,55,49,79,24,13
2019-01-13,53,0,13,32,93,18,41,57,71,0
2019-01-20,52,15,13,63,83,71,48,41,24,49
2019-01-27,45,31,0,0,57,0,21,16,0,13
2019-02-03,9,0,0,69,10,10,7,11,0,27
2019-02-10,0,29,0,0,9,0,26,20,0,36
2019-02-17,52,60,13,0,36,0,34,15,0,0
2019-02-24,35,46,13,32,9,9,34,26,0,0
2019-03-03,80,46,13,0,9,27,7,21,0,25
2019-03-10,61,0,13,63,18,18,41,5,0,0
2019-03-17,8,0,0,0,27,9,33,0,0,12
2019-03-24,17,15,0,0,27,0,33,15,0,0
2019-03-31,52,30,26,0,18,26,47,20,23,25
2019-04-07,85,74,13,0,54,17,100,40,23,48
2019-04-14,8,44,50,31,62,43,59,59,0,36
2019-04-21,42,15,25,93,27,60,86,65,46,24
2019-04-28,69,15,25,63,36,9,88,25,23,0
2019-05-05,52,0,77,32,55,26,54,20,23,12
2019-05-12,50,44,74,0,35,25,65,29,45,12
2019-05-19,42,44,25,0,62,26,59,54,23,36
2019-05-26,42,44,50,31,44,51,26,64,0,24
2019-06-02,41,57,36,0,60,33,57,62,22,23
2019-06-09,74,100,49,0,43,42,77,24,22,0
2019-06-16,68,44,13,62,27,52,53,45,0,0
2019-06-23,41,29,37,30,96,8,71,63,22,12
2019-06-30,59,59,13,0,45,17,53,35,0,12
2019-07-07,34,29,75,92,27,43,53,54,0,12
2019-07-14,52,75,64,94,82,17,94,35,23,12
2019-07-21,72,47,40,65,47,18,42,89,0,13
2019-07-28,27,96,54,100,29,9,29,32,0,13
2019-08-04,45,62,13,65,85,100,28,37,0,38
2019-08-11,60,30,25,31,36,43,53,100,0,12
2019-08-18,58,29,25,0,62,34,65,29,45,12
2019-08-25,25,43,37,60,44,42,45,53,45,23
2019-09-01,64,42,36,0,68,41,50,23,0,11
2019-09-08,79,46,52,96,19,45,34,98,0,62
2019-09-15,64,42,36,29,93,41,50,61,65,0
2019-09-22,48,28,36,88,59,41,76,57,0,57
2019-09-29,40,42,35,0,68,32,63,61,22,11
2019-10-06,41,71,24,30,60,8,77,77,0,35
2019-10-13,81,28,24,0,34,8,44,62,22,23
2019-10-20,48,70,47,29,51,49,75,80,22,11
2019-10-27,40,14,36,29,43,25,69,33,0,11
2019-11-03,24,70,48,88,76,41,63,66,0,11
2019-11-10,31,68,12,28,25,32,61,18,42,11
2019-11-17,39,68,58,0,58,32,43,50,63,22
2019-11-24,31,27,46,56,49,8,79,59,63,44
2019-12-01,62,40,57,0,24,55,60,68,0,22
2019-12-08,68,53,33,0,72,23,65,44,0,43
2019-12-15,44,51,43,53,70,30,46,34,0,0
2019-12-22,31,0,34,28,41,47,48,58,21,22
2019-12-29,68,0,45,28,48,46,71,49,0,21
2020-01-05,64,37,21,52,37,94,33,58,19,30
2020-01-12,50,25,42,78,45,29,45,42,0,10
2020-01-19,100,27,23,84,73,47,36,45,42,11
2020-01-26,58,25,33,27,31,67,57,64,0,21
2020-02-02,49,25,21,77,37,57,55,83,0,0
2020-02-09,14,36,61,75,51,49,54,64,56,19
2020-02-16,33,0,39,48,77,20,42,51,18,0
2020-02-23,80,21,18,89,52,44,43,94,33,35
2020-03-01,37,21,36,0,65,43,14,32,33,52
2020-03-08,12,43,65,45,33,19,10,77,0,53
2020-03-15,61,11,27,45,71,87,19,68,17,26
2020-03-22,42,21,53,22,38,61,9,74,16,25
2020-03-29,59,31,26,87,38,18,28,59,0,8
2020-04-05,59,31,17,0,43,30,9,65,32,33
2020-04-12,17,20,52,21,43,36,14,48,16,8
2020-04-19,28,10,25,61,48,29,18,76,0,32
2020-04-26,37,11,18,44,26,6,10,79,33,0
2020-05-03,29,21,52,0,62,18,9,80,16,8
2020-05-10,23,69,42,82,30,34,18,70,92,40
2020-05-17,29,10,26,63,55,59,14,61,47,8
2020-05-24,23,20,52,21,55,71,0,61,47,25
2020-05-31,57,20,34,83,18,35,13,74,31,0
2020-06-07,17,10,33,62,48,52,18,53,0,40
2020-06-14,17,10,34,21,67,70,14,68,31,25
2020-06-21,34,30,34,21,55,35,9,77,16,41
2020-06-28,29,10,79,65,25,42,18,52,16,33
2020-07-05,29,21,26,22,44,24,0,59,32,25
2020-07-12,24,31,44,43,38,42,0,59,16,25
2020-07-19,36,10,35,43,44,61,23,70,48,17
2020-07-26,24,11,45,88,51,43,9,64,49,17
2020-08-02,48,31,27,65,57,18,14,35,48,0
2020-08-09,29,31,79,22,50,42,28,42,16,8
2020-08-16,24,21,18,44,70,37,9,49,16,34
2020-08-23,34,10,75,41,59,23,13,46,45,40
2020-08-30,37,18,70,19,44,43,12,56,0,30
2020-09-06,21,9,24,39,62,27,8,78,43,23
2020-09-13,44,0,24,40,46,61,13,38,30,23
2020-09-20,29,10,42,21,30,29,9,60,15,65
2020-09-27,20,24,0,49,43,41,11,60,37,10
2020-10-04,6,55,56,92,100,32,10,78,34,45
2020-10-11,40,23,69,0,56,41,10,39,18,47
2020-10-18,40,47,100,0,43,48,16,47,55,38
2020-10-25,54,23,60,49,57,55,21,75,36,48
2020-11-01,32,33,66,47,34,32,0,56,35,0
2020-11-08,34,47,80,49,43,62,0,59,18,76
2020-11-15,39,46,39,0,48,13,15,65,18,37
2020-11-22,51,22,47,70,48,39,20,71,52,100
2020-11-29,38,22,28,23,53,26,10,48,17,45
2020-12-06,37,32,36,67,52,25,10,87,100,35
2020-12-13,30,10,45,22,64,18,14,71,0,34
2020-12-20,38,11,29,47,61,39,10,60,0,64
2020-12-27,19,22,65,69,67,38,5,59,34,36
